Country,Month,Year,Events,Fatalities
Afghanistan,January,2017,866,2417
Afghanistan,February,2017,697,2202
Afghanistan,March,2017,1166,3217
Afghanistan,April,2017,1079,3679
Afghanistan,May,2017,1229,4303
Afghanistan,June,2017,904,2117
Afghanistan,July,2017,1303,4241
Afghanistan,August,2017,1371,3492
Afghanistan,September,2017,943,2648
Afghanistan,October,2017,1253,3588
Afghanistan,November,2017,1167,1857
Afghanistan,December,2017,946,2600
Afghanistan,January,2018,1096,2811
Afghanistan,February,2018,880,1825
Afghanistan,March,2018,939,2269
Afghanistan,April,2018,1193,2767
Afghanistan,May,2018,1455,4246
Afghanistan,June,2018,1333,3623
Afghanistan,July,2018,1508,5423
Afghanistan,August,2018,1332,4874
Afghanistan,September,2018,998,4217
Afghanistan,October,2018,990,3527
Afghanistan,November,2018,954,3889
Afghanistan,December,2018,984,3516
Afghanistan,January,2019,926,3242
Afghanistan,February,2019,759,2485
Afghanistan,March,2019,900,3149
Afghanistan,April,2019,942,2777
Afghanistan,May,2019,909,3396
Afghanistan,June,2019,1008,3210
Afghanistan,July,2019,1442,4344
Afghanistan,August,2019,1465,4493
Afghanistan,September,2019,1674,5497
Afghanistan,October,2019,1409,3584
Afghanistan,November,2019,1098,2250
Afghanistan,December,2019,1082,3004
Afghanistan,January,2020,1027,1734
Afghanistan,February,2020,766,1409
Afghanistan,March,2020,766,1638
Afghanistan,April,2020,560,2167
Afghanistan,May,2020,575,2219
Afghanistan,June,2020,639,2474
Afghanistan,July,2020,827,3620
Afghanistan,August,2020,828,2909
Afghanistan,September,2020,853,3175
Afghanistan,October,2020,1052,3397
Afghanistan,November,2020,956,3279
Afghanistan,December,2020,907,2948
Afghanistan,January,2021,1003,3013
Afghanistan,February,2021,973,2674
Afghanistan,March,2021,986,2370
Afghanistan,April,2021,1149,3557
Afghanistan,May,2021,1341,6345
Afghanistan,June,2021,1459,8569
Afghanistan,July,2021,1001,8747
Afghanistan,August,2021,583,5917
Afghanistan,September,2021,113,288
Afghanistan,October,2021,148,419
Afghanistan,November,2021,152,269
Afghanistan,December,2021,159,188
Afghanistan,January,2022,211,319
Afghanistan,February,2022,181,231
Afghanistan,March,2022,203,212
Afghanistan,April,2022,273,539
Afghanistan,May,2022,276,423
Afghanistan,June,2022,251,532
Afghanistan,July,2022,196,386
Afghanistan,August,2022,189,392
Afghanistan,September,2022,196,408
Afghanistan,October,2022,158,295
Afghanistan,November,2022,110,136
Afghanistan,December,2022,96,135
Afghanistan,January,2023,87,121
Afghanistan,February,2023,88,84
Afghanistan,March,2023,28,44
