ADM1NameEnglish,Arrival IDPs,Fled IDPs
Badakhshan,83274,196478
Badghis,136309,217114
Baghlan,90982,241816
Balkh,419375,222074
Bamyan,42726,142690
Daykundi,33418,59677
Farah,181484,303379
Faryab,122782,457710
Ghazni,176240,171901
Ghor,117693,141452
Helmand,496546,466632
Herat,989696,360314
Jawzjan,111493,47770
Kabul,755246,228858
Kandahar,246339,182408
Kapisa,52914,170479
Khost,94678,56179
Kunar,115187,86326
Kunduz,171713,246839
Laghman,57936,129369
Logar,29595,152118
Nangarhar,401134,270659
Nimroz,97409,36215
Nuristan,10805,20526
Paktika,54261,43829
Paktya,64778,91302
Panjsher,4159,1414
Parwan,62666,87957
Samangan,33726,80757
Sar-e-Pul,131778,178359
Takhar,121976,134506
Uruzgan,109872,208286
Wardak,43103,262751
Zabul,232927,220453
